"Country Name","Country Code","Year","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)","average_value_Children in employment, female (% of female children ages 7-14)","average_value_Children in employment, male (% of male children ages 7-14)","average_value_Children in employment, study and work (% of children in employment, ages 7-14)","average_value_Children in employment, study and work, female (% of female children in employment, ages 7-14)","average_value_Children in employment, study and work, male (% of male children in employment, ages 7-14)","average_value_Children in employment, total (% of children ages 7-14)","average_value_Children in employment, work only (% of children in employment, ages 7-14)","average_value_Children in employment, work only, female (% of female children in employment, ages 7-14)","average_value_Children in employment, work only, male (% of male children in employment, ages 7-14)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Literacy rate, youth (ages 15-24), gender parity index (GPI)","average_value_Prevalence of HIV, female (% ages 15-24)","average_value_Prevalence of HIV, male (% ages 15-24)","average_value_Proportion of seats held by women in national parliaments (%)","average_value_Refugee population by country or territory of asylum","average_value_Refugee population by country or territory of origin","average_value_School enrollment, primary (gross), gender parity index (GPI)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_School enrollment, secondary (gross), gender parity index (GPI)","average_value_School enrollment, tertiary (gross), gender parity index (GPI)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Vulnerable employment, female (% of female employment) (modeled ILO estimate)","average_value_Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
"St. Kitts and Nevis","KNA","2001","","","","","","","","","","","","","","","","","","","","","","","","13.3333333333333","","","1.12426996231079","1.13663005828857","1.15662002563477","","","","",""
"Korea, Rep.","KOR","2005","2.0754","","","","","","","","","","39.48","30.88","34.98","50.44","54.66","74.04","77.14","66.09","81.6","74.9","","","","13.3779264214047","61","266","0.992699980735779","1.00725996494293","1.02231001853943","0.640389978885651","3.35","3.94","29.3800001144409","24.0500005483627"
"Liberia","LBR","1973","212.228","","","","","","","","","","","","","","","","","","43.368","39.472","","","","","","","","","","0.304479986429214","","","",""
"St. Lucia","LCA","1994","84.6982","","","","","","","","","","46.94","68.45","57.49","49.82","55.2","77.53","82.85","68.74","73.578","70.668","","","","","","","","","","","23.04","12.91","20.9700000286102","28.5700001716613"
"Low income","LIC","1968","142.292112269048","","","","","","","","","","","","","","","","","","44.6454789728996","41.6964563522914","","","","","","","","","","","","","",""
"Low & middle income","LMY","1965","93.6390254400572","","","","","","","","","","","","","","","","","","52.3368886078023","49.2422078367025","","","","","","","","","","","","","",""
"Luxembourg","LUX","1975","22.4308","","","","","","","","","","","","","","","","","","74.491","67.202","","","","","","","1.00260996818542","0.997730016708374","0.992990016937256","0.873539984226227","","","",""
"Morocco","MAR","1962","152.268","","","","","","","","","","","","","","","","","","50.376","48.251","","","","","2900","","","","","","","","",""
"Middle East & North Africa","MEA","1974","119.557020039362","","","","","","","","","","","","","","","","","","56.3446968786291","54.5062132308503","0.639090001583099","","","","","","0.63688","0.61302","0.55186","0.492900013923645","","","",""
"Middle East & North Africa (excluding high income)","MNA","2001","42.6298189378649","","","","","","","","","","15.2750402608596","51.1329392775098","33.5338346883973","17.7566321139707","18.8913347431176","73.1795382940458","76.1220389872806","47.7086110093494","71.4460770254812","67.9418722479022","0.899789988994598","0.105099495943306","0.102352611937909","3.99556048834628","6213276","1004645","0.89945","0.90206","0.90637","0.851080000400543","18.866409095188","11.7378981661007","43.5285961418009","33.3196508641917"
"Middle East & North Africa (excluding high income)","MNA","2006","40.8109447122908","","","","","","","","","","15.4118725359104","50.3511135787397","33.1610364299912","18.7349696839332","19.9690359478899","72.5418650683479","75.7437158663189","48.0721692519539","73.0678735113352","69.2155316305881","0.924619972705841","0.101645742110533","0.100549039996746","8.63242574257427","6974377","1940562","0.91747","0.92887","0.94307","0.975179970264435","17.310182187854","9.29855577610935","46.4658557859732","32.0888546532844"
"Montenegro","MNE","1993","25.3918","","","","","","","","","","23.4","32.92","28.29","43.4","50.23","58.63","64.45","57.37","77.68","71.293","","0.1","0.1","","","","","","","","35.08","26.97","9.9500002861023","15.0200001001358"
"Mongolia","MNG","1986","34.836","","","","","","","","","","","","","","","","","","61.233","56.534","","","","","","","0.988870024681091","","","","","","",""
"Malaysia","MYS","1970","56.6004","","","","","","","","","","","","","","","","","","66.329","63.114","","","","","","","0.91592001914978","0.84459000825882","0.692619979381561","","","","",""
"Nicaragua","NIC","2006","104.4068","","","","","","","","","","31.55","64.16","48.09","45.31","47.11","81.27","81.91","64.03","74.54","68.294","","0.1","0.1","15.2173913043478","195","1827","0.986810028553009","1.0378999710083","1.15995001792908","","4.97","5.51","45.5100002288818","44.649998664856"
"New Zealand","NZL","1970","65.8094","","","","","","","","","","","","","","","","","","74.5","68.2","","","","","2000","","0.981809973716736","0.982559978961945","0.983630001544952","0.679740011692047","","","",""
"OECD members","OED","1983","40.1899916991052","","","","","","","","","","","","","","","","","","76.4800778710824","69.6428455084327","","","","","","","0.98276","0.98766","0.99271","0.878459990024567","","","",""
"OECD members","OED","1989","38.5286005050631","","","","","","","","","","","","","","","","","","77.8319497263386","71.0547675678182","","","","","","","0.98653","0.98483","0.98371","0.959800004959106","","","",""
"OECD members","OED","2009","30.0327238154478","","","","","","","","","","42.952064512475","51.8657433970869","47.4951213354671","50.8033458347591","61.125657827291","70.0008503364414","79.4840923906844","70.2835648211447","81.879497752651","76.1888129272367","","","","23.0875258442453","2005421","556029","0.99423","1.00138","1.00773","1.15006995201111","8.0284625174142","8.47602577361032","12.4372147717534","14.6074805445468"
"Panama","PAN","1972","133.158","","","","","","","","","","","","","","","","","","68.217","64.97","","","","","130","","0.958890020847321","0.988399982452393","1.09064996242523","0.777719974517822","","","",""
"Panama","PAN","1990","99.8312","","","","","","","","","","32.71","63.7","48.45","38.25","41.04","78.82","82.39","61.89","76.018","70.205","0.993539988994598","0.1","0.1","","1350","629","0.962909996509552","1.00038003921509","1.0742199420929","","","","",""
"Peru","PER","1969","111.2568","","","","","","","","","","","","","","","","","","55.148","51.768","","","","","","","","","","","","","",""
"Peru","PER","1971","105.8436","","","","","","","","","","","","","","","","","","56.708","53.232","","","","","1500","","","","1.06787002086639","0.529789984226227","","","",""
"Palau","PLW","2013","","","","","","","","","","","","","","","","","","","","","1.00059998035431","","","0","","","0.899580001831055","0.994639992713928","1.09951996803284","1.33861994743347","","","",""
"Papua New Guinea","PNG","1986","84.5974","","","","","","","","","","","","","","","","","","56.799","53.855","","","","","11290","","0.828289985656738","0.788879990577698","0.5798100233078","0.337680011987686","","","",""
"Portugal","PRT","1994","21.2738","","","","","","","","","","42.9","50.64","46.82","49.54","59.7","69.31","78.32","68.8","78.5","71.5","","0.1","0.2","","248","25","0.950070023536682","1.0166699886322","1.08847999572754","1.25717997550964","7.79","5.87","22.2900009155273","19.7799994945526"
"South Asia","SAS","2005","57.1165760764447","","","","","","","","","","23.5206168290774","64.6785037859421","44.9692223769826","30.8166401931856","32.3276092574303","83.030386164115","85.4739757124944","59.82329790869","65.7203789658563","63.9105367447935","0.82261997461319","","","13.2764343290659","1371641","2436365","0.9555","0.91133","0.84903","0.709819972515106","5.5192503180148","4.94420161388043","86.0136016224989","76.286565454258"
"Sudan","SDN","1993","108.6112","","","","","","","","","","23.46","47.29","35.48","25.87","26.66","75.86","76.05","51.34","57.753","54.58","","0.1","0.1","","745200","393868","","","","","20.42","13.66","72.0799980163574","57.1300010681153"
"Senegal","SEN","1976","178.3794","","","","","","","","","","","","","","","","","","45.761","43.573","","","","","38000","","0.736819982528687","","","","","","",""
"Singapore","SGP","1998","7.461","","","","","","","","","","46.46","46.69","46.58","50.91","55.34","79.83","84.07","70.16","79.4","75.3","","0.1","0.1","4.76190476190476","5","21","","","","","3.7","3.24","6.33999991416932","11.1099998354912"
"Solomon Islands","SLB","1997","71.123","","","","","","","","","","70.69","69.38","70.01","81.21","82.55","84.14","84.99","83.8","67.501","65.259","","","","","800","34","","","","","1.82","2.39","78.9799976348877","67.7600002288819"
"El Salvador","SLV","1978","128.1184","","","","","","","","","","","","","","","","","","61.201","51.631","","","","","","","0.965309977531433","0.934239983558655","0.851660013198853","0.459699988365173","","","",""
"Seychelles","SYC","1997","57.909","","","","","","","","","","","","","","","","","","77","65.7","","","","27.2727272727273","","32","1.01372003555298","","","","","","",""
"Togo","TGO","1981","139.5808","","","","","","","","","","","","","","","","","","54.689","51.056","","","","","","","0.637139976024628","","","0.172600001096725","","","",""
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","2000","128.343601683883","","","","","","","","","","49.41097276885","54.5092285161237","51.9628564955502","63.0019043430697","64.2490447385816","76.4417009159613","77.0753382710409","70.5865189305281","52.0899931996302","48.8861038570514","0.836040019989014","3.81941145776884","1.30396329483277","11.5853658536585","3413266","3769036","0.85113","0.83941","0.8022","0.700540006160736","6.70177748758171","6.49219321902215","86.3404377333751","73.5892087020447"
"Trinidad and Tobago","TTO","2004","38.2932","","","","","","","","","","45.08","60.99","53.1","51.64","56.98","75.9","81.11","69.05","73.048","67.905","","0.3","0.1","19.4444444444444","","38","0.96670001745224","1.01081001758575","1.07128000259399","1.20936000347137","4.71","3.16","12.7699999809265","18.1099992394447"
"Tuvalu","TUV","2015","","","","","","","","","","","","","","","","","","","","","","","","6.66666666666667","","","0.961589992046356","1.06901001930237","1.20958995819092","","","","",""
"Upper middle income","UMC","1965","65.4192416881472","","","","","","","","","","","","","","","","","","56.7173174284279","51.9843339662558","","","","","","","","","","","","","",""
"Upper middle income","UMC","1979","40.6964502608146","","","","","","","","","","","","","","","","","","68.018933109505","63.5229053497179","0.872860014438629","","","","","","0.88513","0.87145","0.84529","0.91237998008728","","","",""
"Upper middle income","UMC","1987","43.7236322416408","","","","","","","","","","","","","","","","","","70.7301226169572","66.0549057431937","0.942640006542206","","","","","","0.91517","0.89755","0.86862","0.851119995117188","","","",""
"Venezuela, RB","VEN","1970","112.656","","","","","","","","","","","","","","","","","","67.505","62.615","","","","","15000","","","","","","","","",""
"Venezuela, RB","VEN","1989","98.119","","","","","","","","","","","","","","","","","","73.634","67.567","","","","","2118","","1.00051999092102","1.06088995933533","1.23713004589081","0.917990028858185","","","",""
"Vanuatu","VUT","1985","80.0492","","","","","","","","","","","","","","","","","","64.003","61.637","","","","","","","","","","","","","",""
"Zimbabwe","ZWE","1988","109.0396","","","","","","","","","","","","","","","","","","63.084","57.375","","","","","174483","629","0.982290029525757","0.91755998134613","0.724799990653992","","","","",""
"Argentina","ARG","1997","69.801","","","","","","","","","","37.51","53.24","45.35","49.55","56.67","74.85","81.15","68.63","76.453","69.586","","0.1","0.1","27.6264591439689","10522","157","0.994459986686707","1.0210599899292","1.08230996131897","","17.63","12.79","22.5099997520447","24.4200003147125"
"Australia","AUS","1962","45.305","","","","","","","","","","","","","","","","","","74.2","67.84","","","","","","","","","","","","","",""
"Benin","BEN","2008","106.2162","","","","","","","","","","48.16","43.73","45.93","68.61","70.06","74.43","74.62","72.31","60.052","57.199","","0.8","0.3","10.8433734939759","6927","315","0.858399987220764","","","0.372189998626709","0.79","0.9","94.8500003814697","83.2200031280517"
"Benin","BEN","2013","94.3112","","","","","","","","","","46.77","40.47","43.59","68.2","69.58","73.53","73.81","71.68","61.527","58.615","","0.6","0.3","8.43373493975904","190","294","0.915210008621216","0.834890007972717","0.670080006122589","0.380120009183884","2.88","2.45","94.5699977874756","82.6999988555908"
"Bahamas, The","BHS","2008","38.1306","","","","","","","","","","46.37","62.27","54.28","69.69","75.1","81.49","85.82","80.28","74.619","69.367","","0.4","0.3","12.1951219512195","","11","0.967339992523193","0.986320018768311","1.00700998306274","","9.25","7.18","5.00000002980233","8.47999984771013"
"Brazil","BRA","1991","83.3338","","","","","","","","","","44.94","79.17","62.12","41.88","44.87","82.94","86.49","65.48","70.26","63.426","","","","","5389","11","","","","","8.11","5.45","32.4300003051757","34.4999990463257"
"Central African Republic","CAF","1984","163.6488","","","","","","","","","","","","","","","","","","51.952","48.008","","","","","42000","","0.565519988536835","","","0.108149997889996","","","",""
"Canada","CAN","1973","35.7922","","","","","","","","","","","","","","","","","","76.83","69.67","","","","","13358","","0.991349995136261","0.993939995765686","0.996810019016266","","","","",""
"Central Europe and the Baltics","CEB","1994","34.1942642411094","","","","","","","","","","41.1991364012653","51.2626367789967","46.3440597083185","53.1370710393753","62.0179802562837","68.5831856270865","75.441871756124","68.6636474468155","75.2215465797768","66.7412861879789","0.999650001525879","","","","219622","163568","0.98946","1.00591","1.01767","1.17184996604919","12.0339209292074","10.8898152585408","23.2171250861062","21.6623194567122"
"Cameroon","CMR","1973","190.6864","","","","","","","","","","","","","","","","","","49.546","46.741","","","","","","","0.778020024299622","0.739709973335266","0.442999988794327","0.126389995217323","","","",""
"Colombia","COL","1991","97.8666","","","","","","","","","","46.55","70.06","58.22","50.95","53.8","83.63","86.15","69.53","73.828","66.16","","0.1","0.1","","450","738","1.0173100233078","1.06523001194","1.17042994499207","1.02634000778198","13.8","7.73","46.9899988174438","48.0400009155274"
"Comoros","COM","1987","118.843","","","","","","","","","","","","","","","","","","56.632","53.464","","","","","","","0.799759984016418","0.765739977359772","0.674170017242432","","","","",""
"Cuba","CUB","1963","121.361","","","","","","","","","","","","","","","","","","67.447","64.169","","","","","","","","","","","","","",""
"Czech Republic","CZE","1994","31.279","","","","","","","","","","43.87","60.05","52.13","52.56","64.43","71.3","80.39","72.39","76.64","69.48","","","","","1186","4650","1.00281000137329","1.00961995124817","1.01288998126984","0.965740025043488","5.19","3.58","5.68000000715256","9.64000026881695"
"Djibouti","DJI","1999","34.189","","","","","","","","","","54.09","62.9","58.52","46.41","48.77","78.2","80.8","64.88","58.621","55.42","","2.3","1.2","0","23266","1879","0.717999994754791","0.719129979610443","0.724979996681213","1.04445004463196","11.84","11.61","48.8800020217896","35.4500002861023"
"Dominica","DMA","1999","","","","","","","","","","","","","","","","","","","","","","","","9.375","","","1.03421998023987","1.13159000873566","1.32932996749878","","","","",""
"Dominican Republic","DOM","1995","111.1024","","","","","","","","","","30.58","64.54","47.42","37.83","40.01","80.27","82.68","61.3","71.048","65.565","","0.5","0.3","","982","30","","","","","10.84","4.35","28.7700004577637","42.1700019836426"
